评论	评论时间	笔记标题	笔记链接	用户名	IP属地	笔记内容
可以呀 户外	2024/3/22		https://www.xiaohongshu.com/explore/65fc3f300000000013027ae4	Noegarden奈野花园	广东	3.22号周五下午3:30结束营业，准时清场，请宝子们一早来噢3.23号正常营业10:00-18:003.24号周日下午3:30开始营业，延迟到19:00关门。3.25周一店休
只有户外的位置，室内可以进	2024/3/23		https://www.xiaohongshu.com/explore/65fc3f300000000013027ae4	Noegarden奈野花园	广东	3.22号周五下午3:30结束营业，准时清场，请宝子们一早来噢3.23号正常营业10:00-18:003.24号周日下午3:30开始营业，延迟到19:00关门。3.25周一店休
现在可以带啦	2024/3/24		https://www.xiaohongshu.com/explore/65fc3f300000000013027ae4	Noegarden奈野花园	广东	3.22号周五下午3:30结束营业，准时清场，请宝子们一早来噢3.23号正常营业10:00-18:003.24号周日下午3:30开始营业，延迟到19:00关门。3.25周一店休
#NAME?	2024/3/24		https://www.xiaohongshu.com/explore/65fc3f300000000013027ae4	Noegarden奈野花园	广东	3.22号周五下午3:30结束营业，准时清场，请宝子们一早来噢3.23号正常营业10:00-18:003.24号周日下午3:30开始营业，延迟到19:00关门。3.25周一店休
左边那只位置不对，再画了一次[捂脸R]	2024/3/22	在东莞·婚礼现场绘画 | ??新郎&??新娘	https://www.xiaohongshu.com/explore/65fbfa170000000012021383	婚礼画师??cc	广东	今天又是一对从校园到现在的恋爱新人和他们的婚礼布置一样，都很可爱[吧唧R]他们说“晚宴是给家人的，婚礼??应该是给我们自己的”，所以当然怎么开心怎么来！穿上圆滚滚的充气服，也被我用简笔画的形式记录下来了（无奖寻找成品[偷笑R]）第一次去东莞[大笑R]体验挺新奇的我对天气的温度似乎掌握得不太好，出门衬衫??加针织裙一到现场实在是太热了[捂脸R]美团赶紧下单了一条裤子和手机支架（手机支架也落在顺风车上了从酒店厕所换好出来就有个女老板形象的大姐姐严肃地问我什么什么餐厅在哪[汗颜R]我只能说我不是工作人员，因为我的形象真的太像工作人员了赶紧把袖子挽起来，衬衫前面打个结[笑哭R]看起来休闲一点对了，这个酒店有好多放养的孔雀??[哇R]除了在喴哇鬼叫，飞上屋顶的样子还是很帅的（就在头顶上）拍到一只就在婚礼现场旁边的??好奇旁边的月子中心里面的????????觉得还好吗 哈哈最开始看东莞天气是28度+下雨???，虽然还没到下开水的程度[偷笑R]但这个配置就是妥妥的潮湿[石化R]上一次颜料干不了画得难受的现场还历历在目所以提前把底色给打好！画的那两天天也真的在回南了，还得用风扇吹一吹[偷笑R]有时候画画就喜欢慢慢来，所以这次底色铺得很放松慢慢地刷啊，摆啊，点啊，戳啊，勾线，过程非常治愈??朱迪和??尼克为了画得更准更精致，也提前带上了[暗中观察R]#婚礼现场绘画#婚礼绘画 #婚礼画师#广东婚礼#东莞婚礼#佛山婚礼#广州婚礼#中山婚礼#清远婚礼 #珠海婚礼 #顺德婚礼 #南海婚礼 #禅城婚礼 #高明婚礼#广州婚礼现场绘画#佛山婚礼现场绘画 #东莞婚礼现场绘画#深圳婚礼现场绘画 #江门婚礼现场绘画#中山婚礼现场绘画#厦门婚礼现场绘画#泉州婚礼现场绘画#福建婚礼现场绘画#草坪婚礼 #户外婚礼#备婚#结婚礼物送新人 #婚礼现场#疯狂动物城婚礼#多巴胺婚礼 #令人心动的爱情瞬间#自由职业者的苦和乐 #绘画日常 #小众婚礼 #婚礼的那些套路
[偷笑R]	2024/3/21	在东莞·婚礼现场绘画 | ??新郎&??新娘	https://www.xiaohongshu.com/explore/65fbfa170000000012021383	婚礼画师??cc	广东	今天又是一对从校园到现在的恋爱新人和他们的婚礼布置一样，都很可爱[吧唧R]他们说“晚宴是给家人的，婚礼??应该是给我们自己的”，所以当然怎么开心怎么来！穿上圆滚滚的充气服，也被我用简笔画的形式记录下来了（无奖寻找成品[偷笑R]）第一次去东莞[大笑R]体验挺新奇的我对天气的温度似乎掌握得不太好，出门衬衫??加针织裙一到现场实在是太热了[捂脸R]美团赶紧下单了一条裤子和手机支架（手机支架也落在顺风车上了从酒店厕所换好出来就有个女老板形象的大姐姐严肃地问我什么什么餐厅在哪[汗颜R]我只能说我不是工作人员，因为我的形象真的太像工作人员了赶紧把袖子挽起来，衬衫前面打个结[笑哭R]看起来休闲一点对了，这个酒店有好多放养的孔雀??[哇R]除了在喴哇鬼叫，飞上屋顶的样子还是很帅的（就在头顶上）拍到一只就在婚礼现场旁边的??好奇旁边的月子中心里面的????????觉得还好吗 哈哈最开始看东莞天气是28度+下雨???，虽然还没到下开水的程度[偷笑R]但这个配置就是妥妥的潮湿[石化R]上一次颜料干不了画得难受的现场还历历在目所以提前把底色给打好！画的那两天天也真的在回南了，还得用风扇吹一吹[偷笑R]有时候画画就喜欢慢慢来，所以这次底色铺得很放松慢慢地刷啊，摆啊，点啊，戳啊，勾线，过程非常治愈??朱迪和??尼克为了画得更准更精致，也提前带上了[暗中观察R]#婚礼现场绘画#婚礼绘画 #婚礼画师#广东婚礼#东莞婚礼#佛山婚礼#广州婚礼#中山婚礼#清远婚礼 #珠海婚礼 #顺德婚礼 #南海婚礼 #禅城婚礼 #高明婚礼#广州婚礼现场绘画#佛山婚礼现场绘画 #东莞婚礼现场绘画#深圳婚礼现场绘画 #江门婚礼现场绘画#中山婚礼现场绘画#厦门婚礼现场绘画#泉州婚礼现场绘画#福建婚礼现场绘画#草坪婚礼 #户外婚礼#备婚#结婚礼物送新人 #婚礼现场#疯狂动物城婚礼#多巴胺婚礼 #令人心动的爱情瞬间#自由职业者的苦和乐 #绘画日常 #小众婚礼 #婚礼的那些套路
哈哈哈懂吹风的	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
[喝奶茶R]	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
哈哈哈最近的风很大	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
周末会多人点，但是是预约制	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
公主你很会说	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
[喝奶茶R]	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
好拍	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
是个农场	2024/3/21	真的不在南法！广州莫奈花园惊现春日粉龙??	https://www.xiaohongshu.com/explore/65fbf931000000001203e1eb	jiayu-L??	广东	.谁能受得了春日的鲜花??发现了一个很美莫奈花园！犹如置身于南法庄园独家??这是个艺术农场 独栋小黄楼每个角落都很好拍??像油画为了一扇窗来了一个店??～.一楼是个咖啡店 窗边的花敲美二楼的有个粉色龙的展 有被惊艳外面的大草坪很惬意 还有千秋???.庄园附近有个亲子徒步路线～??长岭国家登山健身步行道带小孩爬完山可以下来吃个下午茶.??现在农场还没完全完善是预约制入场 可以上某团康康??.??满山丘艺术农场
[害羞R][害羞R][害羞R][害羞R]	2024/3/21	珠帘绣幕蔼祥烟 合巹嘉盟缔百年 | 正好影像	https://www.xiaohongshu.com/explore/65fc24ad000000000d00e99c	正好影像社禁言中私信不回	广东	正好影像社婚礼客片分享    #  #
私您	2024/3/22	广州增城春天户外婚礼太生机盎然了	https://www.xiaohongshu.com/explore/65fbfd30000000001203fb3e	SurpriseVision思派视觉	广东	春天的婚礼 百看不厌-
[色色R][色色R][色色R]心动你就来	2024/3/21		https://www.xiaohongshu.com/explore/65fbdb1000000000120341df	可儿要离城	广东	[吧唧R][吧唧R][吧唧R][吧唧R]离城半日达人招募啦限时招募|离城半日鸟巢帐篷篝火晚会派对[色色R][色色R][色色R]亲爱的户外活动爱好者和生活艺术家们如果你热爱户外活动放松，钟爱摄影艺术等等，那么这是一个难得的机会！离城半日四海湖畔艺术营地，官方正在招募户外活动爱好者和体验官欢迎你加入成为我们的露营体验官！体验时间：周末①活动流程14:30抵达离城半日。14：30-15：45森林自然音乐会开启，导览营地9大打卡点part1：围炉煮茶配9宫格茶点，坐在湖边享用围炉钵钵烤奶part2:营区9大打卡点随意打卡拍照17:00-18:00森林营地“与财神闹闹磕”体验，还有氛围超足的下午茶享用，围炉煮茶体验18:00-21:20营地萤火虫灯会烤肉派对21:20：华南区首家鸟巢帐篷过夜体验第二天：早上9点，在森林里醒来，伴随虫鸣鸟叫声，体验森系丰富营养早餐，红薯??，玉米??，营养粥??，牛奶??，面包??，开启活力满满的一天10:00：活动结束回城#广州美食探店 #户外露营 #森林露营天花板 #广州探店达人招募 #艺术 #搞的就是艺术 #摄影 #广州派对 #广州亲子活动 #森林露营天花板 #广州派对婚礼 #广州团建活动 #广州露营团建 #深圳探店打卡 #深圳露营地推荐 #深圳气球派对 #招募深圳探店达人 #深圳拍照打卡圣地
来啦[派对R]	2024/3/22		https://www.xiaohongshu.com/explore/65fbdb1000000000120341df	可儿要离城	广东	[吧唧R][吧唧R][吧唧R][吧唧R]离城半日达人招募啦限时招募|离城半日鸟巢帐篷篝火晚会派对[色色R][色色R][色色R]亲爱的户外活动爱好者和生活艺术家们如果你热爱户外活动放松，钟爱摄影艺术等等，那么这是一个难得的机会！离城半日四海湖畔艺术营地，官方正在招募户外活动爱好者和体验官欢迎你加入成为我们的露营体验官！体验时间：周末①活动流程14:30抵达离城半日。14：30-15：45森林自然音乐会开启，导览营地9大打卡点part1：围炉煮茶配9宫格茶点，坐在湖边享用围炉钵钵烤奶part2:营区9大打卡点随意打卡拍照17:00-18:00森林营地“与财神闹闹磕”体验，还有氛围超足的下午茶享用，围炉煮茶体验18:00-21:20营地萤火虫灯会烤肉派对21:20：华南区首家鸟巢帐篷过夜体验第二天：早上9点，在森林里醒来，伴随虫鸣鸟叫声，体验森系丰富营养早餐，红薯??，玉米??，营养粥??，牛奶??，面包??，开启活力满满的一天10:00：活动结束回城#广州美食探店 #户外露营 #森林露营天花板 #广州探店达人招募 #艺术 #搞的就是艺术 #摄影 #广州派对 #广州亲子活动 #森林露营天花板 #广州派对婚礼 #广州团建活动 #广州露营团建 #深圳探店打卡 #深圳露营地推荐 #深圳气球派对 #招募深圳探店达人 #深圳拍照打卡圣地
谢谢哈哈哈哈	2024/3/21	摄影师总结｜户外婚礼要怎么筹备才能出片？	https://www.xiaohongshu.com/explore/65fbd9dd00000000120374a9	摄影师 星星的星	广东	??很多姐妹想办户外婚礼，但总是担心效果不好，也不知道怎样挑选服装才能更出片，星星帮大家总结了2点，看完就知道怎么筹备啦！??户外婚礼出片好看&高级的2个重点：1.婚礼场地环境好/草坪质量好，背景统一不穿帮。2.婚纱款式简约轻便，宾客们dress code同一色系。展开说说：??草坪环境好这个很好理解，草地平整，不要坑坑洼洼的，不然穿高跟鞋走路会很难走，比较优质的户外婚礼场地草坪都是有专人打理维护的，还有就是背景不要建筑物穿帮会更加分哦。??婚纱选择轻婚纱蕞佳，避免户外婚礼选择blingbling的主纱，不然裙摆太长&太重会非常损耗体力，而且在草坪拍出来也不好看，选择缎面或者比较细腻的面料，款式选择简约款或者是比较有设计感的款式很nice，无拖尾或者是小拖尾都非常适合。??婚礼邀请上提醒宾客们dress code，可以提前想好婚礼布置会出现的颜色，让大家配合一下服装色系，这样拍照呈现的效果也会棒！随手一拍都是色调和谐的画面。-蕞后，选择摄影师也非常非常的重要，风格合拍、输出稳定都需要重点看哦，千万不能只看价格～?我是摄影师星星，经常会分享一些从摄影师角度出发的总结小经验～欢迎常来看哦～??:@摄影师 星星的星#广州婚礼跟拍 #广州户外婚礼 #佛山婚礼跟拍 #佛山户外婚礼 #深圳婚礼跟拍 #深圳户外婚礼 #婚礼攻略 #户外婚礼
谢谢包子[飞吻R]	2024/3/22	摄影师总结｜户外婚礼要怎么筹备才能出片？	https://www.xiaohongshu.com/explore/65fbd9dd00000000120374a9	摄影师 星星的星	广东	??很多姐妹想办户外婚礼，但总是担心效果不好，也不知道怎样挑选服装才能更出片，星星帮大家总结了2点，看完就知道怎么筹备啦！??户外婚礼出片好看&高级的2个重点：1.婚礼场地环境好/草坪质量好，背景统一不穿帮。2.婚纱款式简约轻便，宾客们dress code同一色系。展开说说：??草坪环境好这个很好理解，草地平整，不要坑坑洼洼的，不然穿高跟鞋走路会很难走，比较优质的户外婚礼场地草坪都是有专人打理维护的，还有就是背景不要建筑物穿帮会更加分哦。??婚纱选择轻婚纱蕞佳，避免户外婚礼选择blingbling的主纱，不然裙摆太长&太重会非常损耗体力，而且在草坪拍出来也不好看，选择缎面或者比较细腻的面料，款式选择简约款或者是比较有设计感的款式很nice，无拖尾或者是小拖尾都非常适合。??婚礼邀请上提醒宾客们dress code，可以提前想好婚礼布置会出现的颜色，让大家配合一下服装色系，这样拍照呈现的效果也会棒！随手一拍都是色调和谐的画面。-蕞后，选择摄影师也非常非常的重要，风格合拍、输出稳定都需要重点看哦，千万不能只看价格～?我是摄影师星星，经常会分享一些从摄影师角度出发的总结小经验～欢迎常来看哦～??:@摄影师 星星的星#广州婚礼跟拍 #广州户外婚礼 #佛山婚礼跟拍 #佛山户外婚礼 #深圳婚礼跟拍 #深圳户外婚礼 #婚礼攻略 #户外婚礼
[偷笑R]	2024/3/23	广州｜白金色系草坪婚礼??简直太浪漫啦～	https://www.xiaohongshu.com/explore/65fad97b0000000013025143	在路上的鱼	广东	在闹中取静的广州香格里拉参加了一场拥有2000㎡+的自由形态户外草坪婚礼在喷泉??、鲜花??、绿植包围的场景中有种在国外度假的错觉感受到了婚礼带来的美好与浪漫??我想?这大概也是我梦中的婚礼了吧-室内挑高的楼层和巨型的水晶灯铺设的宝蓝色地毯老钱风铺面而来～真的太大气啦！！-
[飞吻R]	2024/3/21	广州｜白金色系草坪婚礼??简直太浪漫啦～	https://www.xiaohongshu.com/explore/65fad97b0000000013025143	在路上的鱼	广东	在闹中取静的广州香格里拉参加了一场拥有2000㎡+的自由形态户外草坪婚礼在喷泉??、鲜花??、绿植包围的场景中有种在国外度假的错觉感受到了婚礼带来的美好与浪漫??我想?这大概也是我梦中的婚礼了吧-室内挑高的楼层和巨型的水晶灯铺设的宝蓝色地毯老钱风铺面而来～真的太大气啦！！-
可以的 我们工作室就在白云这边。	2024/3/21	广州|汕尾 高级简约小预算留影区布置	https://www.xiaohongshu.com/explore/65fabe69000000001203591d	爆爆堂派对婚礼策划	广东	布置地区：广州|汕尾|佛山|惠州|深圳|东莞专业布置！效果第一！性价比高！适用布置于：酒店布置丶祠堂布置丶户外布置
蟹蟹[派对R]	2024/3/20	一个女主持自然舒适的户外开场。	https://www.xiaohongshu.com/explore/65fa9ff0000000001203e13f	主持人丽芬	广东	主打就是轻松又自在，没有压力感。-
嘻嘻	2024/3/21	一个女主持自然舒适的户外开场。	https://www.xiaohongshu.com/explore/65fa9ff0000000001203e13f	主持人丽芬	广东	主打就是轻松又自在，没有压力感。-
[哇R][哇R]	2024/3/20	一个女主持自然舒适的户外开场。	https://www.xiaohongshu.com/explore/65fa9ff0000000001203e13f	主持人丽芬	广东	主打就是轻松又自在，没有压力感。-
快来快来[飞吻R]	2024/3/20	户外婚礼自助餐‖广州餐饮外宴上门	https://www.xiaohongshu.com/explore/65fa814f0000000014005396	A墨丰外宴餐饮	广东	家庭商务聚会完美选择|上门自助餐???我们为顾客提供个性化、定制化的餐饮体验。安排专业的厨师团队根据您的需求和口味，为您准备各种美食。餐饮外宴到烩服务是一种便捷、个性化餐饮服务方式外宴上门制作自助餐，让您的味蕾环游世界!??您是否想要在自己的家中或办公室举办一场别具一格的聚会，但又不想为准备食物而烦恼？那么外宴上门制作自助餐服务就是您的最佳选择！??我们的外汇厨师团队拥有丰富的经验和专业的技能，能够为您提供各种口味的美食。无论您喜欢中式??、西式??、日式??还是其他国家的菜肴??????，我们都能够满足您的需求。我们提供的自助餐服务包括：个性化菜单定制：根据您的口味和喜好，我们为您量身定制菜单。专业厨师团队：我们的厨师团队???????都是经验丰富的专业人士，能够确保食物的品质和口感。优质食材：我们只使用新鲜??、优质的食材??，让您放心享用美食。上门服务：我们会在您指定的时间和地点上门为您制作自助餐，让您省去了繁琐的准备工作。外汇上门制作自助餐，让您轻松享受美食盛宴！??
